company_name_id;company_name;url;year_founded;city;state;country;zip_code;full_time_employees;Employees Mean;Employees STD;Employees;Office Size (m2);Mean sqm per worker;STD sqp per worker;Sqm per worker;company_type;company_category;revenue_source;business_model;social_impact;description;description_short;source_count;data_types;example_uses;data_impacts;financial_info;last_updated
3-round-stones-inc;3 Round Stones, Inc.;http://3RoundStones.com;2010;Washington;DC;us;20004;01-10;5.5;1.5;8;103.4;12.55;0.62;12.925269;Private;Data/Technology;Data analysis for clients, Database licensing, Subscriptions;Business to Business, Business to Consumer;;3 Round Stones produces a platform for publishing data on the Web. 3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing and consuming data.  Headquartered in Arlington, Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.;Our Open Source platform is used by the Fortune2000 and US Government Agencies to collect, publish and reuse data, both public and proprietary.;NA;;;[];3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.;44:26.0
48-factoring-inc;48 Factoring Inc.;https://www.48factoring.com;2014; Philadelphia;PA;us;19087;51-200;125.5;24.8;99;2007.06;16.49;2.09;20.273382;Private;Finance & Investment;Financial Services;Business to Business;Small Business Owners;The company mission is to provide finance to small business. We also provide financing to small business with bad credit too on the basis of future credit.;48 Factoring Inc. is one of the best financial services company using unique factoring 2.0 financial product which helps business to grow.;11-50;Business;;[u'Cost efficiency', u'Job growth', u'Revenue growth'];;36:39.9
5psolutions;5PSolutions;www.5psolutions.com;2007;Fairfax;VA;us;22003;01-10;5.5;1.5;4;56.13;12.55;0.62;14.032197;Private;Data/Technology;Subscriptions, User fees for web or mobile access;Business to Business, Business to Consumer, Business to Government;;At 5PSolutions, we wish to make all basic information of different categories easily available to via tablets or phones.;5PSolutions are artisans of mobile platforms.;NA;;;[];;09:35.5
abt-associates;Abt Associates;abtassoc.com;1965;Cambridge;MA;us;2138;1,001-5,000;3000.5;666.5;2102;46844.28;24.86;4.42;22.285578;Private;Research & Consulting;Data analysis for clients, Database licensing;;;Abt Associates is a mission-driven, international company conducting research and program implementation in the fields of health, social and environmental policy, and international development. The company has multiple offices in the U.S. and program offices in more than 40 countries.;Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.;101+;;;[];Employee-owned company. $552M/year.;23:21.4
accela;Accela;http://www.accela.com;1999;San Ramon;CA;us;94583;501-1,000;750.5;83.2;600;23310.05;35.77;4.34;38.850086;Private;Governance;Not reported by company;Business to Consumer;Citizen engagement and participation, Good governance, Public safety;Accela powers thousands of services and millions of transactions for more than 500 public agencies worldwide, enabling governments to connect with citizens and streamline processes related to land management, asset management, licensing, and public health & safety. Accela addresses a broad range of agency, business and citizen needs, and includes built-in payment, scheduling, compliance and information transparency. Together with our partners, Accela can custom-tailor solutions based on precise agency specifications, or deploy packaged solutions based on best practice templates and pre-defined services in a matter of a few weeks.;Accela improves citizen engagement by making it easier to do government business, driving civic innovation and improving transparency, accuracy and accountability.;101+;Health/Healthcare, Housing, Public Safety;;[];;30:49.2
accenture;Accenture;http://www.accenture.com/us-en/pages/index.aspx;1989;Chicago;IL;us;60601;10,001+;22500.5;4166.5;21592;;;;;Public;;Not reported by company;Business to Business;;Accenture delivers its services and solutions through 19 focused industry groups in five operating groups. This industry focus provides Accenture’s professionals with a thorough understanding of industry evolution, business issues and applicable technologies, enabling Accenture to deliver solutions tailored to each client's industry.;Accenture provides management consulting, technology and outsourcing services.;NA;Health/Healthcare;;[];;44:38.0
accuweather;AccuWeather;http://www.accuweather.com;1962;State College;PA;us;16803;201-500;350.5;49.8;284;3688.34;12.55;0.62;12.987113;Private;Environment & Weather;Subscriptions;Business to Business, Business to Consumer, Business to Government;;AccuWeather provides local forecasts for everywhere in the United States and over two million locations worldwide. AccuWeather also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.;AccuWeather provides local forecasts for everywhere in the United States and over two million locations worldwide.;NA;Economics;;[];;16:13.5
acxiom;Acxiom;http://acxiom.com;1969;Little Rock;AR;us;72201;5,001-10,000;7500.5;833.2;7876;104643.53;12.55;0.62;13.28638;Public;Data/Technology;Not reported by company;Business to Business;;Acxiom is an enterprise data, analytics and software as a service company. For more than 40 years, Acxiom has harnessed the powerful potential of data to strengthen connections between people, businesses and their partners.;Acxiom is an enterprise data, analytics and software-as-a-service company, using data to connect people, businesses and their partners.;101+;;;[];;53:16.5
adaptive;Adaptive;http://www.adaptive.com;2001;Irvine;CA;us;92618;11-50;30.5;6.5;33;1079.51;35.77;4.34;32.712534;Private;Business & Legal Services;Not reported by company;Business to Business;;Adaptive offers standards-based solutions that help organizations better align their valuable information by supporting specific management challenges including Data Governance, Data Quality, Metadata Management, Enterprise Architecture Management and IT Portfolio Management.;Adaptive helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.;NA;;;[];;53:46.1
adobe-digital-government;Adobe Digital Government;http://www.adobe.com/solutions/government.html;2009;San Jose;CA;us;95510;10,001+;22500.5;4166.5;13906;162102.31;12.55;0.62;11.657005;Public;Data/Technology;Not reported by company;Business to Government;;Adobe Digital Government is part of Adobe Systems, a global digital marketing and digital media solutions company. Adobe's tools and services allow customers to create digital content, deploy it across media and devices, measure and optimize it over time. ;;;;;;;
